Open	High	Low
30.713	33.754	27.002
28.986	29.027	26.872
27.886	29.702	27.044
28.688	29.446	27.002
27.083	28.309	27.002
27.594	28.012	27.509
27.676	28.65	27.38
28.35	28.986	27.634
28.48	29.324	28.273
29.532	30.375	29.155
30.336	30.842	29.909
30.547	31.348	30.505
30.883	31.052	29.909
30.547	30.795	30.249
30.547	31.012	30.547
30.842	31.012	30.209
30.713	31.221	29.958
30.635	30.635	28.391
28.35	28.561	27.676
28.35	31.896	28.35
31.308	31.808	30.674
31.221	31.687	31.134
31.517	31.517	31.052
31.47	32.104	31.261
32.065	33.754	32.025
33.712	35.906	33.455
36.62	41.514	36.412
42.528	53.369	42.487
51.302	54.003	50.122
53.666	53.966	51.473
53.161	53.286	45.483
45.984	46.495	43.708
44.722	44.89	40.71
41.596	41.854	39.232
39.869	44.512	39.826
46.577	46.997	45.604
46.536	46.536	44.849
45.902	45.902	43.243
46.157	47.125	44.553
45.226	46.833	45.226
46.322	49.198	45.984
48.602	48.602	47.125
47.76	47.846	45.563
46.659	46.833	44.849
46.241	48.475	45.902
46.41	46.997	44.849
45.861	46.746	45.821
47.171	47.59	45.399
46.914	46.914	45.523
